id;name;description
1;Razer Blade 15;thin and light gaming laptop with SSD
2;Bose P45;Noise-cancelling headphones with rich bass
3;Dubbel Dusch;The only hygiene product you'll ever need
4;SteelSeries Rival;High-DPI gaming mouse and a low price
5;Sara Algoz;Project Coordinator
6; HDMI cable;Carry sound, video, and USB in one cable
7;ASUS Router;Low performance, high cost
8;CoolerMaster Thermal Paste;Mandatory if you're assembling your own computer
9;Z856 Azrock Motherboard;Socket for most commong processors, low price, but breaks if you lock at it too passionately
10;FIFA 19;Added corruption as a Career Mode feature
